Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
"CADIZ, OBS.",,	2023-04-27,,Operational,Operational,Land (fixed),0-20000-0-08452|primary,Europe,,Spain,36.4997222222,-6.2577777778,2,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2023-04-27,José Miguel Gallardo Fernández
CALAMOCHA,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-08233|primary,Europe,,Spain,40.9261111111,-1.2933333333,890,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;AUT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
CALANDA,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008166|primary,Europe,,Spain,40.9465,-0.2376,466,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2023-04-27,José Miguel Gallardo Fernández
CALATAYUD,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008156|primary,Europe,,Spain,41.331,-1.6452,582,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CAMARENA DE LA SIERRA,,,,Operational,Unknown,Land (fixed),0-20000-0-08958|primary,Europe,,Spain,40.1152777778,-1.0344444444,1520,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,GOS General:Operational,	2016-04-28,
"CANDANCHU, ETUKSA",,,,Operational,Unknown,Land (fixed),0-20000-0-08914|primary,Europe,,Spain,42.7875,-0.5383333333,1560,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,GOS General:Operational,	2016-04-28,
CAP DE RAC,,,,Operational,Operational,Land (fixed),0-20000-0-08940|primary,Europe,,Spain,42.4302777778,1.6677777778,1940,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,GOS General:Operational,	2016-04-28,
CAP DE REC,,	2019-11-28,,Operational,Silent,Land (fixed),0-724-0-0000000000008940|primary,Europe,,Spain,42.4303,1.6675,1940,,UTC+1,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,Warm Temperate - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",(unknown) at middle relative elevation within mountains of high altitude,,GOS General:Operational,	2021-05-27,José Miguel Gallardo Fernández
CAP DE VAQUEIRA,,	2019-11-28,,Operational,Operational,Land (fixed),0-724-0-0000000000008936|primary,Europe,,Spain,42.6919,0.9739,2467,,UTC+1,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,Snow - Fully humid - Cool summer,Rainfed croplands(Surface cover types (GlobCover2009)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",(unknown) at high relative elevation within rises of high altitude,,GOS General:Operational,	2021-05-27,José Miguel Gallardo Fernández
"CARAVACA,FUENTES DEL MARQUÉS",,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008365|primary,Europe,,Spain,38.1031,-1.8771,643,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CARBONERAS - FARO MESA ROLDÁN,"CARBONERAS,C.TERMICA",	2008-06-10,,Operational,Unknown,Land (fixed),0-724-0-0000000000008488|primary,Europe,,Spain,36.9794,-1.903,12,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON, GOS General:Operational",	2023-04-27,José Miguel Gallardo Fernández
CARRIÓN DE LOS CONDES,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008068|primary,Europe,,Spain,42.3509,-4.6173,830,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CARTAGENA - TENTEGORRA,,	2008-06-11,,Operational,Partly operational,Land (fixed),0-724-0-0000000000008434|primary,Europe,,Spain,37.6044,-1.0233,55,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2023-04-27,José Miguel Gallardo Fernández
CASPE-PLANA DEL PILÓN,,	2018-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008165|primary,Europe,,Spain,41.2425,-0.0686,202,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CASTELLON-ALMAZORA,CASTELLON-ALMASSORA,	2017-10-09,,Operational,Operational,Land (fixed),0-20000-0-08286|primary,Europe,,Spain,39.9572222222,-0.0719444444,42.9,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);RBCN;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational",	2017-10-09,José Miguel Gallardo Fernández
CASTILLO LAS GUARDAS,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08386|primary,Europe,,Spain,37.6875,-6.3344444444,517,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
CERCEDA,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08007|primary,Europe,,Spain,43.1688888889,-8.5269444444,595,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
"CERLER, COGULLA",,	2019-11-28,,Operational,Partly operational,Land (fixed),0-724-0-0000000000008923|primary,Europe,,Spain,42.555,0.5431,2374.4,,UTC+1,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,Polar - Tundra,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2021-05-27,José Miguel Gallardo Fernández
"CERLER, ESQU COTA 2000",,,,Operational,Unknown,Land (fixed),0-20000-0-08930|primary,Europe,,Spain,42.5655555556,0.5441666667,2020,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,GOS General:Operational,	2016-04-28,
CERVERA DE PISUERGA,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008058|primary,Europe,,Spain,42.8706,-4.52,1140,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CIUDAD REAL,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-08348|primary,Europe,,Spain,38.9891666667,-3.9202777778,628,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);EVAP;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
COLMENAR VIEJO/FAMET,,	2014-07-01,,Operational,Operational,Land (fixed),0-20000-0-08219|primary,Europe,,Spain,40.6961111111,-3.765,1004,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2023-04-27,José Miguel Gallardo Fernández
"CORBERA, PIC D'AGULLES",,,,Operational,Unknown,Land (fixed),0-20000-0-08179|primary,Europe,,Spain,41.4080555556,1.8847222222,647,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
CORDOBA/AEROPUERTO,,,,Operational,Operational,Land (fixed),0-20000-0-08410|primary,Europe,,Spain,37.8488888889,-4.8466666667,90,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
CORIA,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008251|primary,Europe,,Spain,40.0035,-6.5575,313,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
CUENCA,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-08231|primary,Europe,,Spain,40.0672222222,-2.1319444444,945,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);EVAP;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
CULLERA,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08289|primary,Europe,,Spain,39.1761111111,-0.2511111111,234,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
Cabo de Creus,,	1999-01-01,,Operational,Unknown,Land (fixed),0-20008-0-CCR|primary,Europe,,Spain,42.319167,3.315833,23,,UTC+1,,http://www.mma.es,,"The station is in the natural park of Cabo de Creus, the easternmost tip of the Iberian Peninsula. It is a rocky promontory that forms part of the foothills of the Pyrenees Mountains. Around the station, the dominant vegetation is scrub. Its climate is mild with dry and hot summer, Csa under the Köppen-Geiger classification. The mean temperature ranges between 15 and 17.5 º C and the average total precipitation between 600 - 700 mm.",Warm temperate - Dry and hot summer,,,,,EMEP:Operational,	2016-10-03,Rosa Maria García Marín
Campisàbalos,,	1999-01-01,,Operational,Unknown,Land (fixed),0-20008-0-CPM|primary,Europe,,Spain,41.274167,-3.1425,1360,,UTC+1,,http://www.mma.es,http://geomon.empa.ch/index.php?id=ES09,"The station is located on the south side of the Central System Mountains. Land use is predominantly cereal production and sheep grazing. Campisábalos climate is mild with dry and warm summer, Csb under the Köppen-Geiger classification. The mean temperature ranges between 10 and 12.5ºC and the average total precipitation between 600 - 700 mm.",Warm temperate - Dry and warm summer,,,,,EMEP:Operational,	2016-10-03,Rosa Maria García Marín
DAROCA I,,,,Operational,Partly operational,Land (fixed),0-20000-0-08157|primary,Europe,,Spain,41.1144444444,-1.41,779,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SUNDUR;W/D* (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
DON BENITO,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008333|primary,Europe,,Spain,38.9555,-5.8804,273,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
Doñana,,	2004-09-01,,Operational,Unknown,Land (fixed),0-20008-0-DON|primary,Europe,,Spain,37.051944,-6.555278,5,,UTC+1,,,,"The Station is located inside the National Park of Doñana (Biosphere Reserve), over a sandy ground, near a marsh area and it is separated from the sea by a dunes barrier. Vegetation is typical Mediterranean, and it varies with water availability. It is dominated by different shrub species and also by pines, wild olives, and scattered cork oaks.",Warm temperate - Dry and hot summer,,,,,"EMEP:Operational, GAW Regional:Operational",	2016-10-03,Rosa Maria García Marín
ESTACA DE BARES,,	2008-06-11,,Operational,Partly operational,Land (fixed),0-724-0-0000000000008004|primary,Europe,,Spain,43.786111,-7.684722,80,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-07,José Antonio Fernández Monistrol
ESTEPONA,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008463|primary,Europe,,Spain,36.4169,-5.1549,19,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
Els Torms,,	2000-11-01,,Operational,Unknown,Land (fixed),0-20008-0-ELT|primary,Europe,,Spain,41.393889,0.734722,470,,UTC+1,,http://www.mma.es,,"The station is located in an agricultural region where crops include olives and almonds trees. The natural vegetation consists of holm oaks and pine trees. Its climate is mild with dry and hot summer, Csa under the Köppen-Geiger classification. The mean temperature ranges between 12.5 and 15 º C and the average total precipitation between 400 - 500 mm",Warm temperate - Dry and hot summer,,,,,EMEP:Operational,	2016-10-03,Rosa Maria García Marín
FISTERRA,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008040|primary,Europe,,Spain,42.9248,-9.2914,230,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
FORMIGAL-SARRIOS,,	2015-01-01,,Operational,Partly operational,Land (fixed),0-724-0-0000000000008096|primary,Europe,,Spain,42.7614,-0.3924,1800,,UTC+1,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,"At Formigal-Sarrios in the Pyrenees range, a WMO-SPICE (Solid Precipitation Intercomparison Experiment) site has been set up by AEMET (Spanish State Meteorological Agency) in 2013. The test field site is located at 1800 m asl in a flat area in a subalpine environment with no vegetation, except small amount of grass. A DFIR (Double Fence International Reference) has also been built in 2014 and it is the only one in the Pyrenees. This experimental site represents the efforts of AEMET to contribute to improve the accuracy of the measurement of solid precipitation, snow on the ground and to analyze the performance of observation devices in extreme conditions such as mountainous environments. The site will be also used as a long-term reference to monitor the changes in precipitation and snow accumulation, and to test and to compare new instruments in close collaboration with national and international partners. The site is at present equipped with numerous automatic devices measuring snow depth, snow water equivalent, precipitation, air temperature, wind, air pressure, visibility, type of precipitation and radiation. Data is available from January 2015 GCW primary CryoNet station",Snow - Fully humid - Cool summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),"Smooth (Mud flats, snow; no vegetation, no obstacles)",(unknown) at middle relative elevation within mountains of high altitude,,"GCW CryoNet station:Operational, GOS General:Operational",	2020-07-17,José Antonio Fernández Monistrol
FORTUNA,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08364|primary,Europe,,Spain,38.2644444444,-1.1897222222,1261,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,,,,,GOS General:Operational,	2016-04-28,
GIJON-MUSEL,,	2003-01-01,,Operational,Unknown,Land (fixed),0-20000-0-08014|primary,Europe,,Spain,43.56,-5.70056,5,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2017-03-21,José Miguel Gallardo Fernández
GIJÓN-CAMPUS,,	2016-12-16,,Operational,Unknown,Land (fixed),0-724-0-08014|primary,Europe,,Spain,43.5231,-5.6211,26,,UTC+1,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of low altitude,,GBON:Operational,	2023-04-26,José Miguel Gallardo Fernández
GIRONA/COSTA BRAVA,,,,Operational,Operational,Land (fixed),0-20000-0-08184|primary,Europe,,Spain,41.9116666667,2.7633333333,143,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);LIT;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Lightning counter.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
GRANADA/AEROPUERTO,,,,Operational,Operational,Land (fixed),0-20000-0-08419|primary,Europe,,Spain,37.1897222222,-3.7894444444,567,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;LIT;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Lightning counter; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
GRANADA/BASE AEREA,,	2023-04-27,,Operational,Operational,Land (fixed),0-20000-0-08420|primary,Europe,,Spain,37.1372222222,-3.6313888889,687,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2023-04-27,José Miguel Gallardo Fernández
GUADALAJARA,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-08226|primary,Europe,,Spain,40.6302777778,-3.15,721,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;EVAP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
HERRERA DEL DUQUE,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008264|primary,Europe,,Spain,39.1693,-5.0622,447,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
HUELVA,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-08383|primary,Europe,,Spain,37.2783333333,-6.9116666667,19,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);EVAP;RBCN;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2020-06-19,José Antonio Fernández Monistrol
HUESCA/PIRINEOS,,,,Operational,Operational,Land (fixed),0-20000-0-08094|primary,Europe,,Spain,42.0833333333,-0.3263888889,541,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
IBIZA/ES CODOLA,,,,Operational,Operational,Land (fixed),0-20000-0-08373|primary,Europe,,Spain,38.8763888889,1.3844444444,6,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
"ISABA,  EL FERIAL",,,,Operational,Unknown,Land (fixed),0-20000-0-08912|primary,Europe,,Spain,42.9580555556,-0.8,1591,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SNOW (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Snow survey.,,,,,,GOS General:Operational,	2016-04-28,
JAEN (8417-0),,,,Operational,Operational,Land (fixed),0-20000-0-08417|primary,Europe,,Spain,37.7775,-3.8088888889,580,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
JEREZ DE LA FRONTERA AEROPUERTO,,	1912-01-01,,Operational,Operational,Land (fixed),0-20000-0-08451|primary,Europe,,Spain,36.7505555556,-6.0558333333,27,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);LIT;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Lightning counter.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
JEREZ DE LOS CABALLEROS,,	2008-06-11,,Operational,Operational,Land (fixed),0-724-0-0000000000008337|primary,Europe,,Spain,38.2985,-6.765,381,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
"JÁVEA, AYUNTAMIENTO",,	2013-02-01,,Operational,Operational,Land (fixed),0-724-0-0000000000008370|primary,Europe,,Spain,38.7841,0.1666,15,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
LA CORUNA,,	1877-01-01,,Operational,Operational,Land (fixed),0-20000-0-08001|primary,Europe,,Spain,43.3658333333,-8.4213888889,58,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);GUAN;RBCN;RBSN(ST);SEA;SOLRA;SUNDUR;WN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: State of sea observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GUAN:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed",	2023-04-28,José Miguel Gallardo Fernández
LA CORUNA/ALVEDRO,,	2008-05-11,,Operational,Operational,Land (fixed),0-20000-0-08002|primary,Europe,,Spain,43.3069444444,-8.3719444444,98,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational",	2023-04-27,José Miguel Gallardo Fernández
"LA COVATILLA, ESTACIÓN DE ESQUÍ",,	2012-10-04,,Operational,Operational,Land (fixed),0-724-0-0000000000008205|primary,Europe,,Spain,40.355,-5.6898,1960,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
LA MOLINA,,	2008-06-11,,Operational,Unknown,Land (fixed),0-724-0-0000000000008117|primary,Europe,,Spain,42.3325,1.9394,1703,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,GBON:Operational,	2019-06-17,José Antonio Fernández Monistrol
"LA PINILLA, ESTACIÓN DE ESQUÍ",,	2008-06-11,,Operational,Unknown,Land (fixed),0-724-0-0000000000008143|primary,Europe,,Spain,41.1919,-3.4751,1798,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,,,,,,,"GBON:Operational, GOS General:Operational",	2019-06-17,José Antonio Fernández Monistrol
LEON/VIRGEN DEL CAMINO,,	2017-08-31,,Operational,Operational,Land (fixed),0-20000-0-08055|primary,Europe,,Spain,42.588333,-5.651111,916,,,Agencia Estatal de Meteorología (National Meteorological Agency of Spain),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2017-08-31,José Miguel Gallardo Fernández
