Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
POZAR,,	1972-04-15,,Operational,Operational,Land (fixed),0-20000-0-13593|primary,Europe,,"North Macedonia, Republic of",41.47079,22.432495,1037.6,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Manual measurement stopped,Snow - Fully humid - Cool summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of middle altitude,,GOS General:Operational,	2020-12-22,Aleksandar Karanfilovski
POZARANE,,	1981-06-19,,Operational,Operational,Land (fixed),0-20000-0-13575|primary,Europe,,"North Macedonia, Republic of",41.850813,20.870511,873.4,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of high altitude,,GOS General:Operational,	2023-04-30,Aleksandar Karanfilovski
PRETOR,,	1974-04-15,,Operational,Partly operational,Land (fixed),0-20000-0-13580|primary,Europe,,"North Macedonia, Republic of",40.9797222222,21.065,912,,,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2019-12-19,Aleksandar Karanfilovski
PRILEP,,	1925-03-01,,Operational,Operational,Land (fixed),0-20000-0-13585|primary,Europe,,"North Macedonia, Republic of",41.33333,21.56667,675,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-11-24,Aleksandar Karanfilovski
RADOVISH,,	2018-07-31,,Operational,Operational,Land (fixed),"0-807-0-13494|primary,0-807-0-Radovish",Europe,,"North Macedonia, Republic of",41.621198,22.473286,352,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,30000|,GOS General:Operational,	2023-01-19,Aleksandar Karanfilovski
RESEN,,	2010-09-01,,Operational,Silent,Land (fixed),0-807-0-Resen|primary,Europe,,"North Macedonia, Republic of",41.088706,21.022124,881,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,20000|,GOS General:Operational,	2023-01-17,Aleksandar Karanfilovski
SKOPJE PETROVEC,,	1967-01-31,,Operational,Partly operational,Land (fixed),0-20000-0-13586|primary,Europe,,"North Macedonia, Republic of",41.9666666667,21.65,238,ARGOS Kalman,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational, RBON:Operational, RBSN(T) - deprecated:Closed",	2019-12-20,Aleksandar Karanfilovski
SKOPJE-ZAJCEV RID,,	1978-03-01,,Operational,Unknown,Land (fixed),0-20000-0-13588|primary,Europe,,"North Macedonia, Republic of",42.0166666667,21.4,302,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBSN(S) - deprecated:Closed",	2023-01-19,Aleksandar Karanfilovski
SOLUNSKA GLAVA,,	1957-05-15,	2010-08-01,Operational,Unknown,Land (fixed),0-20000-0-13584|primary,Europe,,"North Macedonia, Republic of",41.7333333333,21.5166666667,2540,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-01-21,Aleksandar Karanfilovski
STIP,,	1926-06-01,,Operational,Unknown,Land (fixed),0-20000-0-13591|primary,Europe,,"North Macedonia, Republic of",41.753642,22.180453,326.23,GPS,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Cool summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBSN(S) - deprecated:Closed",	2024-06-17,Aleksandar Karanfilovski
STRUGA,,	2021-01-01,,Operational,Silent,Land (fixed),0-807-0-Struga|primary,Europe,,"North Macedonia, Republic of",41.183674,20.674725,693,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,A flat at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2021-03-18,Aleksandar Karanfilovski
STRUMICA,,	1949-04-15,,Operational,Operational,Land (fixed),0-20000-0-13595|primary,Europe,,"North Macedonia, Republic of",41.43333,22.65,223,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2023-01-19,Aleksandar Karanfilovski
TETOVO,,	1949-09-29,,Operational,Operational,Land (fixed),0-20000-0-13571|primary,Europe,,"North Macedonia, Republic of",42,20.96667,453,,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,A flat at lowest relative elevation within hollows of middle altitude,,"GBON, GOS General:Operational",	2023-01-19,Aleksandar Karanfilovski
TOPOLCANI,,	1973-04-15,,Operational,Operational,Land (fixed),"0-20000-0-13581|primary,0-807-0-RAD002",Europe,,"North Macedonia, Republic of",41.240268,21.433272,854,From map,,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Snow - Fully humid - Warm summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"GOS General:Operational, WRO:Operational",	2019-12-19,Aleksandar Karanfilovski
VALANDOVO,,	2012-10-01,,Operational,Operational,Land (fixed),"0-807-0-13496|primary,0-807-0-Valandovo",Europe,,"North Macedonia, Republic of",41.315138,22.556384,109,From map,UTC+1,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-01-19,Aleksandar Karanfilovski
VELES,,	2015-04-16,,Operational,Partly operational,Land (fixed),0-807-0-13587|primary,Europe,,"North Macedonia, Republic of",41.714306,21.77557,228,From map,,National Hydrometeorological Service of the Republic of  North Macedonia,,,Automatic meteorological station.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within mountains of high altitude,,GOS General:Operational,	2023-01-21,Aleksandar Karanfilovski
VINICA,,	1980-04-15,,Operational,Partly operational,Land (fixed),0-20000-0-13594|primary,Europe,,"North Macedonia, Republic of",41.8833333333,22.5,518,,,National Hydrometeorological Service of the Republic of  North Macedonia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-04-29,Aleksandar Karanfilovski
