Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BOLOGNA/BORGO PANIGALE,,	1945-12-07,,Operational,Operational,Land (fixed),0-20000-0-16140|primary,Europe,,Italy,44.5308333333,11.2969444444,37,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-06,Piero Serra
BOLZANO,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16020|primary,Europe,,Italy,46.4602777778,11.3263888889,239,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
BONIFATI (16336-0),,,,Operational,Unknown,Land (fixed),0-20000-0-16336|primary,Europe,,Italy,39.5847222222,15.8908333333,484,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
BONIFATI (16337-0),,,,Operational,Operational,Land (fixed),0-20000-0-16337|primary,Europe,,Italy,39.5847222222,15.8913888889,484,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;METAR;SEA/SWELL;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
BOUSSON VALLE DI SUSA,,,,Operational,Silent,Land (fixed),0-20000-0-16058|primary,Europe,,Italy,44.9338888889,6.8222222222,1399,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
BRESCIA/GHEDI,,	1948-03-15,,Operational,Operational,Land (fixed),0-20000-0-16088|primary,Europe,,Italy,45.4205555556,10.2813888889,102,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
BRIC DELLA CROCE,,,,Operational,Operational,Land (fixed),0-20000-0-16061|primary,Europe,,Italy,45.0333333333,7.7316666667,709,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;METAR;MONT;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
BRINDISI,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16320|primary,Europe,,Italy,40.6577777778,17.9516666667,14.5,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;PH;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2024-02-06,Piero Serra
CAGLIARI ELMAS,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16560|primary,Europe,,Italy,39.2436111111,9.06,4,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2024-02-06,Piero Serra
CAMPOBASSO,,	1959-01-01,,Operational,Operational,Land (fixed),0-20000-0-16252|primary,Europe,,Italy,41.5636111111,14.655,793,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;METAR;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-15,Piero Serra
CAPO BELLAVISTA,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16550|primary,Europe,,Italy,39.9308333333,9.7130555556,138,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);GAW;GSN;METAR;RBCN;RBSN(S);SEA/SWELL;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2019-08-22,Piero Serra
CAPO CACCIA,,	1977-01-01,,Operational,Operational,Land (fixed),0-20000-0-16522|primary,Europe,,Italy,40.5611111111,8.1630555556,200,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);GAW;METAR;PH;RBCN;RBSN(S);SEA/SWELL;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Sea and swell observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-27,Piero Serra
CAPO CARBONARA,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16564|primary,Europe,,Italy,39.1038888889,9.5136111111,116,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2019-08-22,Piero Serra
