Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
PARG,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-14219|primary,Europe,,Croatia,45.5936111111,14.6305555556,863,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
PAZIN,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-14308|primary,Europe,,Croatia,45.2408333333,13.9452777778,291,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
PLOCE,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-14462|primary,Europe,,Croatia,43.0475,17.4427777778,2,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
PULA AERODROME,,,,Operational,Partly operational,Land (fixed),0-20000-0-14307|primary,Europe,,Croatia,44.8963888889,13.9319444444,63,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, RBON:Operational, RBSN(S) - deprecated:Closed",	2016-04-28,
PUNTIJARKA,,,,Operational,Partly operational,Land (fixed),0-20000-0-14235|primary,Europe,,Croatia,45.9075,15.9683333333,991,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;MONT;PH;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station; Phenological observations; Solar radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
Prijeboj,,	2011-10-11,,Operational,Silent,Land (fixed),0-191-0-14335|primary,Europe,,Croatia,44.831667,15.664444,704,,UTC+1,Meteorological and Hydrological Service of Croatia,,,,Warm Temperate - Fully humid - Hot summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of middle altitude,,GOS General:Operational,	2022-02-08,Ines SRZIC
RAB,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-14321|primary,Europe,,Croatia,44.7555555556,14.7694444444,24,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
RIJEKA/KOZALA,,,,Operational,Operational,Land (fixed),0-20000-0-14216|primary,Europe,,Croatia,45.3369444444,14.4427777778,120,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
RIJEKA/OMISALJ,,,,Operational,Operational,Land (fixed),0-20000-0-14317|primary,Europe,,Croatia,45.2238888889,14.5819444444,85,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
SENJ,,	1982-01-01,,Operational,Operational,Land (fixed),0-20000-0-14323|primary,Europe,,Croatia,44.9925,14.9033333333,26,,,Meteorological and Hydrological Service of Croatia,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;SEATEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
