Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
CABO CARVOEIRO/FAROL,,	1996-01-01,,Operational,Operational,Land (fixed),0-20000-0-08531|primary,Europe,,Portugal,39.361408,-9.406981,32,GPS,UTC,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,,,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-03-10,Manuel Mendes
CASTELO BRANCO,Castelo Branco C. C.,	1986-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08570|primary,0-20000-0-08570",Europe,,Portugal,39.839444,-7.478694,386,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;GAMMA RAY;GAW;RADSAMP;RBCN;RBSN(S);SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Gamma ray measurements; Radioactive sampling; Sky radiation measurements; Solar radiation measurements; Total radiation m,Warm temperate - Dry and warm summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-06-02,Ricardo João Ratola Capela Deus
COIMBRA/CERNACHE,Coimbra / Aeródromo,	1996-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08548|primary,0-20000-0-08548",Europe,,Portugal,40.15764697,-8.4685105,170.79,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
"CORUCHE, CRUZ DO LEAO",C/CL,	1998-06-28,,Operational,Unknown,Land (fixed),"0-620-3401-08550|primary,0-20000-0-08550",Europe,,Portugal,39.07137,-8.39888,193,,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RAREP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at high relative elevation within rises of very low altitude,,"GOS General:Operational, WRO:Operational",	2021-05-27,Sérgio Barbosa
CORVO (ACORES),Corvo / Aeródromo,	1960-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08502|primary,0-20000-0-08502",Europe,,Portugal,39.670791,-31.112884,16,GPS,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR{129};SEATEMP;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"GBON:Operational, GOS General:Operational",	2023-10-20,Manuel Mendes
EVORA,Évora / Cidade,	1870-01-01,	1870-01-01,Closed,Unknown,Land (fixed),0-20000-0-08557|primary,Europe,,Portugal,38.5666666667,-7.9,309,,,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2017-04-03,Ricardo João Ratola Capela Deus
EVORA / C.C.,Évora / Aeródromo,	1996-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08558|primary,0-20000-0-08558",Europe,,Portugal,38.53654394,-7.88797201,247.56,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;RBCN;RBSN(S);SKYRA;SOILTEMP;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements; Solar radiation measurements; Total radiation measurements.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
FARO/AEROPORTO,Faro / Aeródromo,	1960-01-01,,Operational,Operational,Land (fixed),"0-620-2001-08554|primary,0-20000-0-08554",Europe,,Portugal,37.01659132,-7.97190801,5,GPS,UTC,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
FARO/CIDADE,,	1992-09-12,	2010-01-20,Closed,Unknown,Land (fixed),0-20000-0-08555|primary,Europe,,Portugal,37.0166666667,-7.9166666667,27,,,Instituto Português  do Mar e da Atmosfera (Portuguese Institute of Meteorology),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: OCCASIONALLY NOT/OCCASIONNELLEMENT PAS*;SKYRA;SOLRA;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements; Solar radiation measurements; Total radiation measurements.,,,,,,GOS General:Closed,	2017-06-01,Ricardo João Ratola Capela Deus
FLORES (ACORES),Flores / Aeródromo,	1968-05-01,,Operational,Operational,Land (fixed),"0-620-2001-08501|primary,0-20000-0-08501",Europe,,Portugal,39.4573,-31.130796,28,From map,UTC-1,Instituto Portugues do Mar e Atmosfera,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;METAR;RBCN;RBSN(S);SEATEMP{002};SOILTEMP;SPECI;SUNDUR;TIDE (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Warm Temperate - Fully humid - Warm summer,Water bodies(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within valleys of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-03-10,Manuel Mendes
