Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
BUFFALORA,,	1916-10-05,,Operational,Operational,Land (fixed),0-20000-0-06778|primary,Europe,,Switzerland,46.648139,10.267183,1968,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=BUF,,,,,,,1|90,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
BULLET / LA FRETAZ,,	1950-03-01,,Operational,Operational,Land (fixed),0-20000-0-06619|primary,Europe,,Switzerland,46.840619,6.576372,1205.43,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=FRE,,,,,,,13|680,"GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2019-06-04,CHE NMHS 
BUOCHS,,	1988-01-01,	2017-03-01,Closed,Unknown,Land (fixed),0-20000-0-06806|primary,Europe,,Switzerland,46.9769444444,8.3908333333,442,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,	2017-03-21,dwhservice dwhservice
CEVIO,,	1898-12-01,,Operational,Operational,Land (fixed),0-20000-0-06752|primary,Europe,,Switzerland,46.320494,8.603161,417,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CEV,,,,,,,1|280,"Ceilometers, GBON:Operational, GOS General:Operational",	2023-02-28,CHE NMHS 
CHAM,,	1993-06-10,,Operational,Operational,Land (fixed),0-20000-0-06674|primary,Europe,,Switzerland,47.188278,8.464631,442.5,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CHZ,,,,,,,84|2020,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
CHASSERAL,,	1981-01-01,,Operational,Operational,Land (fixed),0-20000-0-06605|primary,Europe,,Switzerland,47.131753,7.054367,1599,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CHA,,,,,,,17|890,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
CHATEAU-D'OEX,,	1879-01-01,,Operational,Operational,Land (fixed),0-20000-0-06627|primary,Europe,,Switzerland,46.479817,7.139661,1028,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CHD,,,,,,,4|520,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
CHAUMONT,,	1863-11-09,,Operational,Operational,Land (fixed),0-20000-0-06608|primary,Europe,,Switzerland,47.049164,6.978828,1136,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CHM,,,,,,,52|730,"GBON:Operational, GOS General:Operational",	2019-06-04,CHE NMHS 
CHAUMONT / BOSSET,,,,Operational,Unknown,Land (fixed),0-20000-0-06902|primary,Europe,,Switzerland,47.0494444444,6.9791666667,1135.85,,,Federal Office of Meteorology and Climatology MeteoSwiss,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD;SOLRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements; Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
CHUR,,	1863-10-01,,Operational,Operational,Land (fixed),0-20000-0-06786|primary,Europe,,Switzerland,46.870369,9.5305,556,GPS,,Federal Office of Meteorology and Climatology MeteoSwiss,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messnetz-automatisch&station=CHU,,,,,,,43|280,"Ceilometers, GBON:Operational, GOS General:Operational, Non-affiliated:Operational",	2023-02-28,CHE NMHS 
