station_name ,wigos_station_identifier,traditional_station_identifier ,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region,Last updated by,Declared reporting status,Assessed reporting status
ANDEER,0-20000-0-06787,06787,Land (fixed),46.610144,9.431969,987.1,,Switzerland,6,CHE NMHS ,Operational,Partly operational
ANDERMATT,0-20000-0-06695,06695,Land (fixed),46.630917,8.580547,1434.5,,Switzerland,6,CHE NMHS ,Operational,Operational
ANDRAVIDA (AIRPORT),0-20000-0-16682,16682,Land (fixed),37.9228,21.2874,10.1,,Greece,6,Alexander Scheid,Operational,Partly operational
ANDÚJAR,0-724-0-0000000000008347,08347,Land (fixed),38.023,-4.0638,202,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ANESBARAKA,0-20000-0-60691,60691,Land (fixed),19.4333333333,4.65,477,,Algeria,1,Mohamed Mezred,Operational,Partly operational
ANNABA,0-20000-0-60360,60360,Land (fixed),36.822222,7.8025,3,,Algeria,1,Abdelhadi HARROUZ,Operational,Silent
ANNECY-MEYTHET,0-20000-0-07490,07490,Land (fixed),45.928167,6.094,455,,France,6,Léa LABEUR,Operational,Partly operational
"ANSO, REFUGIO DE LINZA",0-20000-0-08913,08913,Land (fixed),42.8977777778,-0.7988888889,1340,,Spain,6,,Operational,Partly operational
ANTEQUERA-BOBADILLA,0-724-0-0000000000008413,08413,Land (fixed),37.0294,-4.7483,408,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
Antirio,0-300-0-16834,16834,Land (fixed),38.3341,21.7649,5,,Greece,6,Nick KALAMARAS,Operational,Partly operational
Anza,0-504-1-60254,60254,Land (fixed),30.4342,-9.6422,50,,Morocco,1,MAR NMHS ,Operational,Partly operational
AOSTA POLLEIN,0-20000-0-16054,16054,Land (fixed),45.7347222222,7.3505555556,550,,Italy,6,Piero Serra,Operational,Partly operational
Aoulouz,0-504-1-60248,60248,Land (fixed),29.88222,-8.442777,683,,Morocco,1,MAR NMHS ,Operational,Partly operational
Aousserd,0-504-1-60219,60219,Land (fixed),22.552,-14.3357,210,,Morocco,1,Mounir Aziz,Operational,Partly operational
ARAD,0-20000-0-15200,15200,Land (fixed),46.1335163958,21.3536215174,116.59,,Romania,6,Ancuta MANEA,Operational,Partly operational
ARAGÜES DEL PUERTO,0-724-0-0000000000008095,08095,Land (fixed),42.708,-0.673,1040,,Spain,6,José Antonio Fernández Monistrol,Operational,Unknown
"ARAGUES DEL PUERTO, LIZARRA",0-20000-0-08911,08911,Land (fixed),42.765,-0.6275,1540,,Spain,6,,Operational,Partly operational
ARAK (60660-0),0-20000-0-60660,60660,Land (fixed),25.2666666667,3.7333333333,556,,Algeria,1,,Operational,Unknown
ARANDA DE DUERO,0-724-0-0000000000008144,08144,Land (fixed),41.6658,-3.7427,790,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
ARANJUEZ,0-724-0-0000000000008229,08229,Land (fixed),40.0671,-3.546,540,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
ARAXOS (AIRPORT),0-20000-0-16687,16687,Land (fixed),38.149167,21.422222,11.29,,Greece,6,Nick KALAMARAS,Operational,Partly operational
ARENYS DE MAR,0-724-0-0000000000008186,08186,Land (fixed),41.5872,2.54,74,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
AREZZO,0-20000-0-16172,16172,Land (fixed),43.4597222222,11.8455555556,248,,Italy,6,Piero Serra,Operational,Partly operational
Arfoud,0-504-1-60255,60255,Land (fixed),31.4336,-4.2322,828,,Morocco,1,MAR NMHS ,Operational,Partly operational
AROSA,0-20000-0-06785,06785,Land (fixed),46.792622,9.679003,1878,,Switzerland,6,CHE NMHS ,Operational,Partly operational
"AROUCA, PICO DO GRALHEIRO","0-620-3401-08556,0-620-3401-08526",08526,Land (fixed),40.845,-8.2797222222,1097,,Portugal,6,Sérgio Barbosa,Operational,Partly operational
ARRIACH,0-20000-0-11275,11275,Land (fixed),46.7277793884,13.8524999618,890,,Austria,6,Silke Adler,Operational,Operational
ARROYO DEL OJANCO,0-724-0-0000000000008352,08352,Land (fixed),38.3147,-2.8897,580,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ARTIES,0-724-0-0000000000008107,08107,Land (fixed),42.7002,0.8769,1161,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
ARZEW,0-20000-0-60452,60452,Land (fixed),35.81688,-0.26837,3,,Algeria,1,Mohamed Mezred,Operational,Partly operational
Assa,0-504-1-60207,60207,Land (fixed),28.6155,-9.4505,342,,Morocco,1,MAR NMHS ,Operational,Operational
Assilah,0-504-1-60113,60113,Land (fixed),35.4652,-6.0371,32,,Morocco,1,MAR NMHS ,Operational,Unknown
ASTÚN - LA RACA,0-724-0-0000000000008909,08909,Land (fixed),42.7931,-0.5053,2275.6,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
ASTURIAS/AVILES,0-20000-0-08011,08011,Land (fixed),43.5669444444,-6.0441666667,127,,Spain,6,,Operational,Partly operational
Aszód,0-348-1-44214,44214,Land (fixed),47.65556,19.47639,161.4,,Hungary,6,HUN NMHS,Operational,Operational
ATAR,0-20000-0-61421,61421,Land (fixed),20.5166666667,-13.0666666667,226,,Mauritania,1,Fatma El Jili,Operational,Operational
AUCH,0-20000-0-07622,07622,Land (fixed),43.6888888889,0.6011111111,125,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
AURILLAC,0-20000-0-07549,07549,Land (fixed),44.8986111111,2.4211111111,639,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Silent
AVENCHES,0-20000-0-06611,06611,Land (fixed),46.8872222222,7.0141666667,435,,Switzerland,6,,Operational,Unknown
AVIANO (16036-0),0-20000-0-16036,16036,Land (fixed),46.0286111111,12.6033333333,126,,Italy,6,Piero Serra,Operational,Operational
AVIANO (16037-0),0-20000-0-16037,16037,Land (fixed),46.0302777778,12.5991666667,113,,Italy,6,Piero Serra,Operational,Operational
AVIGNON,0-20000-0-07563,07563,Land (fixed),43.9113888889,4.9025,38,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
AVILA,0-20000-0-08210,08210,Land (fixed),40.6591666667,-4.68,1130,,Spain,6,,Operational,Partly operational
AVORD,0-20000-0-07257,07257,Land (fixed),47.0522222222,2.6422222222,177,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
"AYAMONTE, ISLA CANELA",0-724-0-0000000000008381,08381,Land (fixed),37.1947,-7.3949,2,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
Azemmour,0-504-1-60239,60239,Land (fixed),33.295556,-8.330833,13,,Morocco,1,Mounir Aziz,Operational,Silent
Azilal,0-504-1-60258,60258,Land (fixed),31.9568,-6.5587,1385,,Morocco,1,MAR NMHS ,Operational,Partly operational
Bab Berred,0-504-1-60303,60303,Land (fixed),34.996111,-4.89527,1017,,Morocco,1,MAR NMHS ,Operational,Partly operational
Babócsa,0-348-1-28609,28609,Land (fixed),46.02472,17.33667,110.1,,Hungary,6,HUN NMHS,Operational,Partly operational
BACHTEL,0-20000-0-06850,06850,Land (fixed),47.2947222222,8.8861111111,1115,,Switzerland,6,,Operational,Operational
BAD AUSSEE,0-20000-0-11356,11356,Land (fixed),47.6105537415,13.7583332062,743,,Austria,6,AUT NMHS,Operational,Partly operational
BAD EISENKAPPEL,0-20000-0-11234,11234,Land (fixed),46.4905548096,14.5933332443,623,,Austria,6,Silke Adler,Operational,Partly operational
BAD GASTEIN,0-20000-0-11372,11372,Land (fixed),47.1105537415,13.1333332062,1092,,Austria,6,Silke Adler,Operational,Partly operational
