station_name ,wigos_station_identifier,traditional_station_identifier ,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region,Last updated by,Declared reporting status,Assessed reporting status
LJUBLJANA/BRNIK,0-20000-0-14014,14014,Land (fixed),46.2174517367,14.4727580758,364,,Slovenia,6,Miha DEMSAR,Operational,Operational
LLANES,0-724-0-0000000000008016,08016,Land (fixed),43.4202,-4.748,10,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
LLEIDA,0-20000-0-08171,08171,Land (fixed),41.6261111111,0.5980555556,185,,Spain,6,,Operational,Operational
LLERENA,0-724-0-0000000000008336,08336,Land (fixed),38.2317,-6.017,655,,Spain,6,José Antonio Fernández Monistrol,Operational,Silent
LLUC,0-724-0-0000000000008304,08304,Land (fixed),39.8233,2.8858,490,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
LLUCMAYOR,0-20000-0-08308,08308,Land (fixed),39.3797222222,2.785,113,,Spain,6,,Operational,Operational
LOCARNO / MONTI,0-20000-0-06760,06760,Land (fixed),46.172494,8.787569,366.75,,Switzerland,6,CHE NMHS ,Operational,Partly operational
LODRINO,0-20000-0-06809,06809,Land (fixed),46.295,8.9933333333,259,,Switzerland,6,,Operational,Partly operational
LOFER,0-20000-0-11140,11140,Land (fixed),47.5844459534,12.6952781677,622,,Austria,6,AUT NMHS,Operational,Partly operational
LOFERER ALM,0-20000-0-11337,11337,Land (fixed),47.597778,12.646111,1619,,Austria,6,AUT NMHS,Operational,Partly operational
LOGRONO/AGONCILLO,0-20000-0-08084,08084,Land (fixed),42.4522222222,-2.3311111111,353,,Spain,6,,Operational,Partly operational
LOJA,0-724-0-0000000000008414,08414,Land (fixed),37.1611,-4.1527,760,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
Lőkösháza,0-348-1-67507,67507,Land (fixed),46.42833,21.24361,100.2,,Hungary,6,HUN NMHS,Operational,Operational
LORCA,0-724-0-0000000000008426,08426,Land (fixed),37.6548,-1.6873,312,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
LORETO,0-20000-0-16192,16192,Land (fixed),43.43,13.6036111111,196,,Italy,6,,Operational,Unknown
"LOULE, CAVALOS DO CALDEIRAO","0-620-3401-08553,0-20000-0-08553",08553,Land (fixed),37.30534,-7.95174,616,,Portugal,6,Sérgio Barbosa,Operational,Partly operational
LOZNICA,0-20000-0-13262,13262,Land (fixed),44.55,19.2333333333,121,,Serbia,6,,Operational,Operational
LPCS (CASCAIS AERODROME),0-20000-0-08578,08578,Land (fixed),38.7255555556,-9.3552777778,99,,Portugal,6,,Operational,Operational
LUGANO,0-20000-0-06770,06770,Land (fixed),46.004228,8.960319,273,,Switzerland,6,CHE NMHS ,Operational,Silent
LUGANO-AGNO,0-20000-0-06775,06775,Land (fixed),46.0005555556,8.9091666667,279,,Switzerland,6,,Operational,Partly operational
LUGO/ROZAS,0-20000-0-08008,08008,Land (fixed),43.1113888889,-7.4575,445,,Spain,6,,Operational,Operational
LUGOJ,0-20000-0-15270,15270,Land (fixed),45.6865410804,21.933284932,123,,Romania,6,Ancuta MANEA,Operational,Partly operational
LUQA,0-20000-0-16597,16597,Land (fixed),35.85,14.4833333333,91,,Malta,6,,Operational,Operational
LUTZMANNSBURG,0-20000-0-11393,11393,Land (fixed),47.4652786255,16.6455554962,201,,Austria,6,AUT NMHS,Operational,Silent
LUZERN,0-20000-0-06650,06650,Land (fixed),47.036442,8.301014,454,,Switzerland,6,CHE NMHS ,Operational,Partly operational
LYON-BRON,0-20000-0-07480,07480,Land (fixed),45.7261111111,4.9377777778,201,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
LYON-ST EXUPERY,0-20000-0-07481,07481,Land (fixed),45.7263888889,5.0777777778,250,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
M'SILA,0-20000-0-60467,60467,Land (fixed),35.65098,4.49813,441,,Algeria,1,Mohamed Mezred,Operational,Unknown
MACOMER SA' CRABARZA,0-20000-0-16524,16524,Land (fixed),40.2555555556,8.7358333333,585,,Italy,6,,Partly operational,Unknown
MACON,0-20000-0-07385,07385,Land (fixed),46.2966666667,4.7986111111,222,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
"MADRID, C. UNIVERSITARIA",0-724-0-0000000000008220,08220,Land (fixed),40.4516,-3.7241,664,,Spain,6,ESPGOS NMHS ,Operational,Partly operational
"MADRID, RETIRO",0-20000-0-08222,08222,Land (fixed),40.4119444444,-3.6780555556,667,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
"MADRID,RETIRO",0-724-0-0000000000008222,08222,Land (fixed),40.4118,-3.678,667,,Spain,6,ESPGOS NMHS ,Operational,Operational
MADRID/BARAJAS,0-20000-0-08221,08221,Land (fixed),40.4666666667,-3.5555555556,609,,Spain,6,,Operational,Operational
MADRID/BARAJAS RS,0-20001-0-08221,08221,Land (fixed),40.4652777778,-3.5797222222,631,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
MADRID/C. UNIVERSITARIA,0-20000-0-08220,08220,Land (fixed),40.4516666667,-3.7241666667,664,,Spain,6,,Operational,Partly operational
MADRID/CUATRO VIENTOS,0-20000-0-08223,08223,Land (fixed),40.3755555556,-3.7861111111,690,,Spain,6,,Operational,Operational
MADRID/GETAFE,0-20000-0-08224,08224,Land (fixed),40.2994444444,-3.7222222222,620,,Spain,6,,Operational,Operational
MADRID/TORREJON,0-20000-0-08227,08227,Land (fixed),40.4833333333,-3.4436111111,607,,Spain,6,,Operational,Silent
MADRIDEJOS,0-724-0-0000000000008273,08273,Land (fixed),39.492,-3.5283,690,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
MAGADINO,0-20000-0-06808,06808,Land (fixed),46.164833,8.874369,198,,Switzerland,6,CHE NMHS ,Operational,Unknown
MAGADINO / CADENAZZO,0-20000-0-06762,06762,Land (fixed),46.160031,8.933667,203.2,,Switzerland,6,CHE NMHS ,Operational,Unknown
MAGHNIA,0-20000-0-60522,60522,Land (fixed),34.81143,-1.78242,427,,Algeria,1,Mohamed Mezred,Operational,Unknown
MAHDIA,0-20000-0-60742,60742,Land (fixed),35.5,11.0666666667,,,Tunisia,1,saoussen CHERIAA,Operational,Silent
MAKARSKA,0-20000-0-14454,14454,Land (fixed),43.2875,17.0197222222,49,,Croatia,6,,Operational,Operational
"MÁLAGA,CMT",0-724-0-0000000000008481,08481,Land (fixed),36.7177,-4.4816,54,,Spain,6,José Miguel Gallardo Fernández,Operational,Operational
"MÁLAGA,PUERTO",0-724-0-0000000000008479,08479,Land (fixed),36.7166,-4.4197,25,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
MALAGA/AEROPUERTO,0-20000-0-08482,08482,Land (fixed),36.6661111111,-4.4822222222,5,,Spain,6,,Operational,Partly operational
MALI LOSINJ,0-20000-0-14314,14314,Land (fixed),44.5325,14.4719444444,53,,Croatia,6,,Operational,Operational
MALLNITZ-BAD,0-20000-0-11260,11260,Land (fixed),46.9919433594,13.1666669846,1197,,Austria,6,AUT NMHS,Operational,Unknown
MALLORCA-SON BONET,0-20000-0-08302,08302,Land (fixed),39.6058333333,2.7066666667,41,,Spain,6,,Operational,Operational
MANRESA,0-724-0-0000000000008174,08174,Land (fixed),41.7198,1.8402,291,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
MARCE,0-20000-0-07228,07228,Land (fixed),47.561833,-0.317,53,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MARIAPFARR,0-20000-0-11348,11348,Land (fixed),47.1522222222,13.745,1151,,Austria,6,AUT NMHS,Silent,Unknown
MARIBOR/SLIVNICA,0-20000-0-14026,14026,Land (fixed),46.4796825628,15.6820504761,264,,Slovenia,6,Miha DEMSAR,Operational,Unknown
MARIGNANE,0-20000-0-07650,07650,Land (fixed),43.4377777778,5.2161111111,21,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MARINA DI GINOSA,0-20000-0-16325,16325,Land (fixed),40.4244444444,16.8866666667,1.3,,Italy,6,Piero Serra,Operational,Operational
MARRAKECH,0-20000-0-60230,60230,Land (fixed),31.6166,-8.0333,464,,Morocco,1,Mounir Aziz,Operational,Operational
MARSENS,0-20000-0-06640,06640,Land (fixed),46.656486,7.069672,714.5,,Switzerland,6,CHE NMHS ,Operational,Unknown
MARTINA FRANCA,0-20000-0-16318,16318,Land (fixed),40.6427777778,17.2061111111,413,,Italy,6,Piero Serra,Silent,Unknown
Martonvásár,0-348-1-35418,35418,Land (fixed),47.31111,18.78,109,,Hungary,6,Imre Szöllősi,Operational,Operational
MASCARA-GHRISS,0-20000-0-60507,60507,Land (fixed),35.20666,0.1525,511,,Algeria,1,Abdelhadi HARROUZ,Operational,Operational
MATERA,0-20000-0-16314,16314,Land (fixed),40.6752777778,16.6561111111,496,,Italy,6,Piero Serra,Operational,Partly operational
MATHOD,0-20000-0-06618,06618,Land (fixed),46.736972,6.567989,437,,Switzerland,6,CHE NMHS ,Operational,Operational
MATRO,0-20000-0-06754,06754,Land (fixed),46.410108,8.924736,2171,,Switzerland,6,CHE NMHS ,Operational,Operational
MAVROVO,0-20000-0-13576,13576,Land (fixed),41.7,20.75,1281,,"North Macedonia, Republic of",6,Aleksandar Karanfilovski,Operational,Unknown
MAYRHOFEN,0-20000-0-11330,11330,Land (fixed),47.1624984741,11.8516664505,640,,Austria,6,Silke Adler,Operational,Unknown
Mdiq,0-504-1-60117,60117,Land (fixed),35.6824,-5.3199,2,,Morocco,1,MAR NMHS ,Operational,Partly operational
MECHERIA,0-20000-0-60549,60549,Land (fixed),33.54581,-0.23527,1123.2,,Algeria,1,Abdelhadi HARROUZ,Operational,Partly operational
Mechra Bel Ksiri,0-504-1-60118,60118,Land (fixed),34.5765,-5.9601,16,,Morocco,1,MAR NMHS ,Operational,Unknown
MEDEA,0-20000-0-60437,60437,Land (fixed),36.2811,2.73155,1030,,Algeria,1,Mohamed Mezred,Operational,Unknown
MEDENINE,0-20000-0-60770,60770,Land (fixed),33.32959,10.48817,116,,Tunisia,1,saoussen CHERIAA,Operational,Operational
MEDINA DE POMAR,0-724-0-0000000000008063,08063,Land (fixed),42.9199,-3.4826,580,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
MEIRINGEN,0-20000-0-06637,06637,Land (fixed),46.732225,8.169242,588.6,,Switzerland,6,CHE NMHS ,Operational,Operational
MEKNES,0-20000-0-60150,60150,Land (fixed),33.8822222222,-5.5227777778,556,,Morocco,1,,Operational,Operational
MELILLA (60338-0),0-20000-0-60338,60338,Land (fixed),35.2777777778,-2.9555555556,47,,Spain,1,,Operational,Operational
MENDE,0-20000-0-07554,07554,Land (fixed),44.5336111111,3.4544444444,932,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Unknown
MENORCA/AEROPUERTO,0-20000-0-08314,08314,Land (fixed),39.8547222222,4.2155555556,91,,Spain,6,,Operational,Operational
MÉRIDA,0-724-0-0000000000008331,08331,Land (fixed),38.9158,-6.3856,228,,Spain,6,José Miguel Gallardo Fernández,Operational,Unknown
Merzouga,0-504-1-60152,60152,Land (fixed),31.3,-4.166667,300,,Morocco,1,MAR NMHS ,Operational,Operational
Mesolongi,0-300-0-16855,16855,Land (fixed),38.3696,21.4222,1.26,,Greece,6,Nick KALAMARAS,Operational,Operational
Mesolongi (AWS),0-300-0-16686,16686,Land (fixed),38.3696,21.4222,1,,Greece,6,Nick KALAMARAS,Operational,Unknown
MESSINA,0-20000-0-16420,16420,Land (fixed),38.1997222222,15.5488888889,50.5,,Italy,6,Piero Serra,Operational,Operational
METHONI,0-20000-0-16734,16734,Land (fixed),36.8254,21.7045,51.84,,Greece,6,Nick KALAMARAS,Operational,Operational
MEZZO GREGORIO,0-20000-0-16465,16465,Land (fixed),36.9658333333,14.9577777778,638,,Italy,6,,Operational,Partly operational
MIDELT,0-20000-0-60195,60195,Land (fixed),32.6833333333,-4.7333333333,1508,,Morocco,1,MAR NMHS ,Silent,Unknown
MILA,0-12-0-43MILCN60407,60407,Land (fixed),36.40082,6.32685,670,,Algeria,1,Mohamed Mezred,Operational,Operational
MILANO MALPENSA,0-20000-0-16066,16066,Land (fixed),45.63,8.7230555556,234,,Italy,6,Piero Serra,Operational,Operational
MILANO/LINATE (16080-0),0-20000-0-16080,16080,Land (fixed),45.4494444444,9.2783333333,108,,Italy,6,Piero Serra,Operational,Operational
MILANO/LINATE (16081-0),0-20000-0-16081,16081,Land (fixed),45.46,9.2583333333,107,,Italy,6,Piero Serra,Operational,Operational
MILIANA,0-20000-0-60430,60430,Land (fixed),36.30582,2.2284,715,,Algeria,1,Mohamed Mezred,Operational,Operational
MILLAU,0-20000-0-07558,07558,Land (fixed),44.1186111111,3.0194444444,712,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MILLSTATT,0-20000-0-11215,11215,Land (fixed),46.8080558777,13.5727777481,721,,Austria,6,AUT NMHS,Operational,Operational
Missour,0-504-1-60161,60161,Land (fixed),33.03361,-4.047778,934,,Morocco,1,MAR NMHS ,Operational,Operational
MISURATA,0-20000-0-62016,62016,Land (fixed),32.2426,15.0211,33,,Libya,1,Faraj M ZAYET,Operational,Operational
MOEHLIN,0-20000-0-06641,06641,Land (fixed),47.572194,7.8779,343,,Switzerland,6,CHE NMHS ,Operational,Operational
MOENICHKIRCHEN,0-20000-0-11185,11185,Land (fixed),47.5111122131,16.0333328247,991,,Austria,6,AUT NMHS,Operational,Operational
MOHAMMEDIA,0-20000-0-60146,60146,Land (fixed),33.7166666667,-7.4,4,,Morocco,1,MAR NMHS ,Operational,Operational
MOLDOVA VECHE,0-20000-0-15388,15388,Land (fixed),44.7224425719,21.6332589523,82,,Romania,6,Ancuta MANEA,Operational,Operational
MOLINA DE ARAGON,0-20000-0-08232,08232,Land (fixed),40.8444444444,-1.8788888889,1062,,Spain,6,,Operational,Operational
MOLLIS,0-20000-0-06810,06810,Land (fixed),47.08,9.0666666667,447,,Switzerland,6,,Operational,Operational
MOMUY RADAR,0-20000-0-07606,07606,Land (fixed),43.6244444444,-0.6094444444,126,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MONASTIR-SKANES,0-20000-0-60740,60740,Land (fixed),35.7624,10.7575,2,,Tunisia,1,saoussen CHERIAA,Operational,Operational
MONDOVI,0-20000-0-16114,16114,Land (fixed),44.3902777778,7.8291666667,559,,Italy,6,Piero Serra,Operational,Operational
MONT AIGOUAL,0-20000-0-07560,07560,Land (fixed),44.1213888889,3.5813888889,1567,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MONT-COLOMBIS RADAR,0-20000-0-07578,07578,Land (fixed),44.49611,6.22027,1724,,France,6,Jean-Pierre AUBAGNAC,Operational,Operational
MONT-DE-MARSAN,0-20000-0-07607,07607,Land (fixed),43.9097222222,-0.5002777778,62,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MONT-MAUREL RADAR,0-20000-0-07572,07572,Land (fixed),44.0127777778,6.5291666667,1772,,France,6,,Operational,Operational
"MONTAGNIER, BAGNES",0-20000-0-06615,06615,Land (fixed),46.071019,7.225281,839,,Switzerland,6,CHE NMHS ,Operational,Operational
MONTANA,0-20000-0-06724,06724,Land (fixed),46.298806,7.460822,1427,,Switzerland,6,CHE NMHS ,Operational,Operational
MONTANCY-RADAR,0-20000-0-07291,07291,Land (fixed),47.368667,7.019,913,,France,6,Jean-Pierre AUBAGNAC,Operational,Partly operational
MONTAUBAN,0-20000-0-07540,07540,Land (fixed),44.0280555556,1.3766666667,108,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
MONTCLAR RADAR,0-20000-0-07637,07637,Land (fixed),43.9905555556,2.6097222222,667,,France,6,,Operational,Operational
MONTE ARGENTARIO,0-20000-0-16168,16168,Land (fixed),42.3869444444,11.1697222222,630.7,,Italy,6,Piero Serra,Operational,Operational
MONTE BISBINO,0-20000-0-16073,16073,Land (fixed),45.8733333333,9.0652777778,1322,,Italy,6,,Operational,Unknown
MONTE CALAMITA,0-20000-0-16197,16197,Land (fixed),42.7311111111,10.3955555556,396,,Italy,6,Piero Serra,Operational,Operational
MONTE CIMONE,0-20000-0-16134,16134,Land (fixed),44.19353,10.700807,2165,,Italy,6,Daniele Biron,Operational,Operational
MONTE GENEROSO,0-20000-0-06777,06777,Land (fixed),45.927606,9.017872,1600.4,,Switzerland,6,CHE NMHS ,Operational,Operational
MONTE LEMA,0-20000-0-06768,06768,Land (fixed),46.0408333333,8.8333333333,1625,,Switzerland,6,,Operational,Operational
MONTE REAL,"0-620-1003-08540,0-20000-0-08540",08540,Land (fixed),39.82806,-8.88286,52,,Portugal,6,Manuel Mendes,Operational,Operational
MONTE S. ANGELO,0-20000-0-16258,16258,Land (fixed),41.7083333333,15.9477777778,838,,Italy,6,,Operational,Unknown
MONTE SCURO,0-20000-0-16344,16344,Land (fixed),39.3305555556,16.3963888889,1669,,Italy,6,Piero Serra,Operational,Operational
MONTE SETTEPANI,0-20000-0-16111,16111,Land (fixed),44.2425,8.2011111111,1381,,Italy,6,Piero Serra,Operational,Operational
MONTE TERMINILLO,0-20000-0-16219,16219,Land (fixed),42.4666666667,12.9833333333,1874,,Italy,6,Piero Serra,Operational,Operational
MONTELIMAR,0-20000-0-07577,07577,Land (fixed),44.5811111111,4.7330555556,73,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MONTIJO,"0-620-1003-08534,0-20000-0-08534",08534,Land (fixed),38.71411,-9.02473,14,,Portugal,6,Manuel Mendes,Operational,Operational
MONTPELLIER,0-20000-0-07643,07643,Land (fixed),43.5769444444,3.9630555556,5,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Unknown
MORON DE LA FRONTERA,0-20000-0-08397,08397,Land (fixed),37.1644444444,-5.6113888889,87,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
MOSEN,0-20000-0-06644,06644,Land (fixed),47.243842,8.232819,453.04,,Switzerland,6,CHE NMHS ,Operational,Unknown
MOSTAGANEM,0-20000-0-60457,60457,Land (fixed),35.91166,0.11027,137,,Algeria,1,Mohamed Mezred,Operational,Unknown
MOSTAR,0-20000-0-14648,14648,Land (fixed),43.348129,17.793929,97,,Bosnia and Herzegovina,6,Mirza Tahmaz,Operational,Unknown
"MOTRIL,CLUB NAÚTICO",0-724-0-0000000000008485,08485,Land (fixed),36.7227,-3.5302,12,,Spain,6,José Miguel Gallardo Fernández,Operational,Unknown
MOTTEC,0-20000-0-06716,06716,Land (fixed),46.147903,7.624042,1580,,Switzerland,6,CHE NMHS ,Operational,Unknown
MOUCHEROTTE RADAR,0-20000-0-07468,07468,Land (fixed),45.1477777778,5.6394444444,1895,,France,6,,Operational,Unknown
Moulay Ali Cherif,0-504-1-60203,60203,Land (fixed),31.2827,-4.2669,771,,Morocco,1,MAR NMHS ,Operational,Unknown
Moulay Bouselham,0-504-1-60168,60168,Land (fixed),34.8791,-6.28222,15,,Morocco,1,MAR NMHS ,Operational,Unknown
Moulay Idriss Zerhoun,0-504-1-60142,60142,Land (fixed),34.05713,-5.523,640,,Morocco,1,MAR NMHS ,Operational,Unknown
Mrirt,0-504-1-60204,60204,Land (fixed),33.17083,-5.5638,1113,,Morocco,1,MAR NMHS ,Operational,Unknown
Mrkonjic Grad synop,0-70-0-14545,14545,Land (fixed),44.41113,17.08355,570,,Bosnia and Herzegovina,6,Zeljko Ratkovic,Operational,Operational
MUEHLEBERG,0-20000-0-06636,06636,Land (fixed),46.973275,7.278217,479.79,,Switzerland,6,CHE NMHS ,Operational,Operational
MUEHLEBERG / STOCKEREN,0-20000-0-06629,06629,Land (fixed),46.9521,7.282972,706,,Switzerland,6,CHE NMHS ,Operational,Operational
MURAU,0-20000-0-11280,11280,Land (fixed),47.1111106872,14.176944732,816,,Austria,6,Silke Adler,Operational,Operational
MURCIA,0-20000-0-08430,08430,Land (fixed),38.0019444444,-1.1708333333,61,,Spain,6,,Operational,Operational
MURCIA/AL CANTARILLA,0-20000-0-08429,08429,Land (fixed),37.9577777778,-1.2286111111,75,,Spain,6,,Operational,Operational
MURCIA/SAN JAVIER,0-20000-0-08433,08433,Land (fixed),37.7888888889,-0.8033333333,4,,Spain,6,,Operational,Operational
MURET-LHERM,0-20000-0-07628,07628,Land (fixed),43.4513888889,1.2619444444,190,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
MURSKA SOBOTA,0-20000-0-14031,14031,Land (fixed),46.6520776737,16.1912806394,186.7,,Slovenia,6,Miha DEMSAR,Operational,Operational
NAAMA,0-20000-0-60557,60557,Land (fixed),33.26108,-0.31744,1166,,Algeria,1,Mohamed Mezred,Operational,Operational
NABEUL,0-20000-0-60728,60728,Land (fixed),36.4666666667,10.7,,,Tunisia,1,TUN NMHS,Operational,Operational
NADOR-AROUI,0-20000-0-60340,60340,Land (fixed),34.9833333333,-3.0166666667,178,,Morocco,1,,Operational,Operational
Nagyhegyes Elep,0-348-1-64209,64209,Land (fixed),47.53778,21.30917,89,,Hungary,6,HUN NMHS,Operational,Partly operational
Nagykanizsa,"0-348-1-17809,0-20000-0-12925",12925,Land (fixed),46.456111,16.970556,138.8,,Hungary,6,Imre Szöllősi,Operational,Operational
Nagykutas,"0-348-1-16414,0-20000-0-12915",12915,Land (fixed),46.92583,16.81278,239.1,,Hungary,6,Lucia Cappelletti,Operational,Partly operational
NALUNS / SCHLIVERA,0-20000-0-06799,06799,Land (fixed),46.817164,10.261389,2380,,Switzerland,6,CHE NMHS ,Operational,Partly operational
NALUT,0-20000-0-62002,62002,Land (fixed),31.5144444444,10.5977777777,622,,Libya,1,Faraj M ZAYET,Operational,Partly operational
NANTES-BOUGUENAIS,0-20000-0-07222,07222,Land (fixed),47.15,-1.6088888889,27,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
NAPF,0-20000-0-06639,06639,Land (fixed),47.004667,7.940111,1403.98,,Switzerland,6,CHE NMHS ,Operational,Partly operational
NAPOLI/CAPODICHINO,0-20000-0-16289,16289,Land (fixed),40.8844444444,14.2908333333,90,,Italy,6,Piero Serra,Operational,Partly operational
NAUDERS,0-20000-0-11113,11113,Land (fixed),46.8911094666,10.4969444275,1330.2,,Austria,6,AUT NMHS,Operational,Operational
"NAVACERRADA, PUERTO",0-20000-0-08215,08215,Land (fixed),40.7930555556,-4.0105555556,1894,,Spain,6,,Operational,Partly operational
NAVALMORAL DE LA MATA,0-724-0-0000000000008254,08254,Land (fixed),39.9457,-5.5826,269,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
NAVARREDONDA DE GREDOS,0-724-0-0000000000008206,08206,Land (fixed),40.3504,-5.1429,1525,,Spain,6,José Antonio Fernández Monistrol,Operational,Operational
NEMA,0-20000-0-61497,61497,Land (fixed),16.6,-7.2666666667,270,,Mauritania,1,Fatma El Jili,Operational,Partly operational
Nemeskisfalud,0-348-1-27615,27615,Land (fixed),46.44,17.37444,185.9,,Hungary,6,HUN NMHS,Operational,Partly operational
NESTARES,0-724-0-0000000000008032,08032,Land (fixed),42.9918,-4.1605,870,,Spain,6,José Miguel Gallardo Fernández,Operational,Partly operational
NEUCHATEL,0-20000-0-06604,06604,Land (fixed),47.000064,6.9533,485,,Switzerland,6,CHE NMHS ,Operational,Operational
NEUM,0-20000-0-14657,14657,Land (fixed),42.927341,17.60881,10,,Bosnia and Herzegovina,6,Kemal SEHBAJRAKTAREVIC,Operational,Unknown
NEUMARKT,0-20000-0-11220,11220,Land (fixed),47.0697212219,14.4247226715,869,,Austria,6,AUT NMHS,Operational,Unknown
NEVERS-MARZY,0-20000-0-07260,07260,Land (fixed),46.9983333333,3.1127777778,183,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
NICE,0-20000-0-07690,07690,Land (fixed),43.6488888889,7.2088888889,4,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Operational
NIJAR,0-20000-0-08489,08489,Land (fixed),36.8325,-2.0822222222,486,,Spain,6,,Operational,Partly operational
NIKSIC,0-20000-0-13459,13459,Land (fixed),42.7666666667,18.95,647,,Montenegro,6,,Operational,Unknown
NIMES GARONS,0-20000-0-07646,07646,Land (fixed),43.7594444444,4.4172222222,94,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Unknown
NIMES-COURBESSAC,0-20000-0-07645,07645,Land (fixed),43.8569444444,4.4063888889,60,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
NIMES-RADAR,0-20000-0-07658,07658,Land (fixed),43.8061111111,4.5027777778,71,,France,6,,Operational,Partly operational
NIORT,0-20000-0-07330,07330,Land (fixed),46.3155555556,-0.4002777778,61,,France,6,"FRA,NCL,PYF,SPM NMHS",Operational,Partly operational
NIS,0-20000-0-13388,13388,Land (fixed),43.32639,21.8975,203,,Serbia,6,Andreja Stanković,Operational,Unknown
NOUASSEUR,0-20000-0-60156,60156,Land (fixed),33.3666666667,-7.5833333333,200,,Morocco,1,Mounir Aziz,Operational,Partly operational
NOVA GORICA,0-20000-0-14106,14106,Land (fixed),45.895446637,13.6243092561,55,,Slovenia,6,Miha DEMSAR,Operational,Partly operational
NOVARA/CAMERI,0-20000-0-16064,16064,Land (fixed),45.53,8.6666666667,178,,Italy,6,Piero Serra,Operational,Unknown
NOVI GRAD SYNOP,0-70-0-14535,14535,Land (fixed),45.05042,16.37733,122,,Bosnia and Herzegovina,6,Zeljko Ratkovic,Operational,Partly operational
NOVI SAD RIMSKI SANCEVI,0-20000-0-13168,13168,Land (fixed),45.3333333333,19.85,86,,Serbia,6,,Operational,Unknown
NOVILLE,0-20000-0-06718,06718,Land (fixed),46.3827777778,6.8980555556,373,,Switzerland,6,,Operational,Operational
NOVO MESTO,0-20000-0-14121,14121,Land (fixed),45.8018157696,15.1772634275,220,,Slovenia,6,Miha DEMSAR,Operational,Operational
NURIA,0-20000-0-08946,08946,Land (fixed),42.3938888889,2.1555555556,1967,,Spain,6,,Operational,Operational
Nyírlugos,0-348-1-73505,73505,Land (fixed),47.69611,22.05694,155.7,,Hungary,6,HUN NMHS,Operational,Partly operational
NYON / CHANGINS,0-20000-0-06705,06705,Land (fixed),46.401047,6.227728,455,,Switzerland,6,CHE NMHS ,Operational,Operational
O CARBALLIÑO,0-724-0-0000000000008047,08047,Land (fixed),42.4213,-8.0925,400,,Spain,6,José Antonio Fernández Monistrol,Operational,Partly operational
OBARI,0-20000-0-62200,62200,Land (fixed),26.6,12.7833333333,463,,Libya,1,Faraj M ZAYET,Operational,Operational
OBERAEGERI,0-20000-0-06676,06676,Land (fixed),47.133636,8.608194,724.43,,Switzerland,6,CHE NMHS ,Operational,Unknown
OBERGURGL,0-20000-0-11127,11127,Land (fixed),46.8669433594,11.0244445801,1941,,Austria,6,AUT NMHS,Operational,Operational
OBERRIET / KRIESSERN,0-20000-0-06649,06649,Land (fixed),47.376608,9.612703,409,,Switzerland,6,CHE NMHS ,Operational,Operational
OBERSTDORF,0-20000-0-10948,10948,Land (fixed),47.398429,10.275881,805.76,,Germany,6,Marc Kinkeldey,Operational,Operational
OBERTAUERN,0-20000-0-11149,11149,Land (fixed),47.2488899231,13.5597219467,1772,,Austria,6,AUT NMHS,Operational,Operational
OGULIN,0-20000-0-14328,14328,Land (fixed),45.2627777778,15.2222222222,328,,Croatia,6,,Operational,Partly operational
OHRID,0-20000-0-13578,13578,Land (fixed),41.1166666667,20.8,758,,"North Macedonia, Republic of",6,Aleksandar Karanfilovski,Operational,Operational
OHRID-AERODROME,0-20000-0-13579,13579,Land (fixed),41.18,20.7394,705,,"North Macedonia, Republic of",6,Aleksandar Karanfilovski,Operational,Operational
